palavras,repetições
música,91
a gente,61
fortaleza,39
cidade,39
canção,28
fiz,26
coisa,25
história,25
tempo,25
fazer,25
ter,22
lugar,21
meio,18
letra,17
sempre,16
todo,16
tudo,15
praia de iracema,15
ser,14
mar,14
pessoas,14
samba,14
personagem,13
época,13
falar,13
nome,12
vezes,12
praia,12
vida,12
outra,12
sol,12
outubro,12
ponte,12
setembro,12
dias,11
dessa,11
mucuripe,11
bem,11
pouco,11
ideia,11
queria,10
relação,10
parte,10
local,10
carnaval,10
grande,10
amor,9
benfica,9
lago,9
dia,9
hoje,9
morro,9
povo,9
fausto,9
toda,9
pode,9
viagem,8
vontade,8
aqui,8
outro,8
casa,8
chuva,8
noite,8
escultura,8
gosto,8
cara,8
anos,8
vai,8
homenagem,8
dentro,7
desse,7
dizer,7
realmente,7
comecei,7
criar,7
amigos,7
chegou,7
pescadores,7
fazia,7
pedro,7
cearense,7
fez,7
nessa,7
morava,7
momento,7
mesa,7
fevereiro,7
compositor,7
ver,7
tipo,7
violão,7
2019,6
naquele,6
primeiro,6
primeira,6
prefeitura,6
praça,6
terminal,6
mundo,6
ednardo,6
veio,6
coisas,6
barra,6
muitos,6
da gente,6
poder,6
algo,6
muitas,6
pessoa,6
maio,6
alencar,6
agosto,6
estoril,6
são paulo,6
ficou,6
festa,6
trabalho,6
esquina,6
ficar,6
sabiaguaba,6
estar,6
bar,6
disco,6
forma,6
questão,6
rua,6
chove,6
estado,6
encontro,6
escrever,5
voltar,5
espaço,5
cada,5
várias,5
jack,5
nomes,5
ainda,5
maneira,5
malandro,5
disso,5
dezembro,5
marajaig,5
chegava,5
outros,5
mulher,5
nesse,5
fazendo,5
geral,5
referência,5
melodia,5
flávio,5
quermesse,5
vê,5
quer,5
quatro,5
encontrei,5
gabriel,5
daquele,5
rock,5
ficava,5
processo,5
rio,5
versos,5
saiu,5
colocar,5
saudade,5
cultura,5
ambiente,5
alguma,5
ceará,5
marcos,5
durante,5
duas,5
fiquei,5
memória,4
lágrima,4
lugares,4
março,4
breculê,4
brasil,4
manuel,4
vários,4
ir,4
locais,4
gente,4
hora,4
uns,4
volta,4
grupo,4
vivência,4
carlinhos,4
frequentava,4
lembro,4
vi,4
via,4
femme bateau,4
final,4
fica,4
causa,4
canções,4
aconteceu,4
canto,4
indignação,4
falo,4
vou,4
fagner,4
faculdade,4
junho,4
calé,4
existia,4
chamada,4
três,4
leandro,4
exatamente,4
lembranças,4
eugênio,4
meninos,4
compor,4
boa,4
política,4
paiva,4
palmeiras,4
dessas,4
área,4
desde,4
partir,4
todas,4
índio,4
pecados,4
dar,4
período,4
show,4
dalwton,4
aragão,4
outras,4
ponto,4
sei,4
presente,4
própria,4
cordel,4
sabiá,4
repente,4
representa,4
conheci,4
rio de janeiro,4
rodger,4
condomínio,4
ambiental,4
bairro,4
vivendo,4
whatsapp,4
navio,4
mesma,4
messejana,4
tocando,4
moura,4
beleza,4
beira mar,4
muita gente,4
músicas,4
nada,4
nasceu,4
natureza,4
dois,4
teatro,4
olhar,4
novembro,4
noites,4
banda,4
estudar,3
encontros,3
escrevi,3
deve,3
zé bezerra,3
criança,3
zairton,3
conjunto,3
conta,3
condições,3
comunidade,3
viver,3
último,3
contexto,3
continua,3
estrutura,3
ônibus,3
festival,3
daqui,3
fato,3
deixa,3
daí,3
esperando,3
favela,3
deixando,3
faz,3
disse,3
falou,3
welles,3
curumim,3
diferentes,3
dona maria,3
criei,3
criação,3
dragão,3
ângela,3
sabia,3
viva,3
vista,3
pequena,3
siri,3
passeio,3
passava,3
passando,3
passa,3
situação,3
parahyba,3
papicu,3
palmas,3
palma,3
ouvir,3
sociais,3
soube,3
oteiro,3
orson,3
nilo,3
nenhuma,3
narrativa,3
perdigão,3
sinto,3
pessoal,3
qualquer,3
ruas,3
rola,3
rogério,3
retratar,3
sai,3
realidade,3
saindo,3
quanto,3
pôr,3
pirambu,3
próprio,3
prêmio,3
praia do futuro,3
santos,3
pra gente,3
sentido,3
poemas,3
poema,3
naqueles,3
tema,3
média,3
indo,3
legal,3
lado,3
juventude,3
julho,3
jerônimo,3
iracema,3
inspirada,3
ingleses,3
importância,3
traz,3
imagem,3
hotel,3
turma,3
vamos,3
histórias,3
verdade,3
fortal,3
fizemos,3
lembrar,3
ligado,3
tentei,3
memórias,3
movimento,3
morre,3
tocar,3
momentos,3
tocava,3
modo,3
metálica,3
menos,3
todos,3
linhares,3
marcus,3
tom,3
manhã,3
luz,3
luta,3
trabalhar,3
sabe,3
litoral,3
louco,3
janeiro,3
antigamente,3
cabeça,3
antiga,3
classe,3
bruno,3
belchior,3
bloco,3
começa,3
cima,3
começo,3
coloquei,3
algumas,3
chama,3
alguns,3
acontecia,3
chamava,3
boemia,3
coloco,3
barra do ceará,3
barco,3
bastante,3
cearenses,3
apesar,3
cito,3
forte,2
ricardo,2
amsterdam,2
filme,2
fim,2
rockn,2
galera,2
andar,2
renato,2
frase,2
gadelha,2
fábio,2
futuro,2
riacho,2
responsabilidade,2
reuniu,2
carlos,2
carreira,2
neto,2
único,2
gravada,2
gomes,2
quarto,2
prostituição,2
proteção,2
cantar,2
précarnaval,2
prédio,2
próxima,2
imaginando,2
imagens,2
iludir,2
igreja,2
público,2
quarteirões,2
quase,2
governo,2
anísio,2
antes,2
quintais,2
quinze,2
quis,2
gênio,2
gruta,2
grupos,2
graça,2
gravação,2
gravar,2
receber,2
figura,2
fechar,2
amo,2
roll,2
espécie,2
silva,2
simples,2
siriará,2
espelho,2
específico,2
especialmente,2
cheguei,2
sob,2
sobreviver,2
escutava,2
sociedade,2
chovendo,2
escrevendo,2
escola,2
sucesso,2
sul,2
erivan,2
equatorial,2
equatoriais,2
surgiu,2
séria,2
enquanto,2
enorme,2
engano,2
tales,2
energia,2
estados,2
sexo,2
algum,2
falava,2
castelo encantado,2
amizades,2
ferreira,2
russo,2
feita,2
pronto,2
saber,2
sair,2
faltava,2
falta,2
sapiranga,2
falei,2
saía,2
sentimento,2
falado,2
cetrede,2
fabrício,2
saímos,2
segundafeira,2
segundo,2
existiam,2
almoço,2
