palavras,repetições
mar,60
sol,57
tempo,42
dia,41
vida,37
vem,37
tudo,33
fortaleza,32
sabe,32
noite,31
faz,31
vou,31
bom,31
beira mar,30
aqui,29
vento,29
vão,28
cidade,28
toda,26
ninguém,26
hoje,26
ser,24
nada,23
sei,22
amor,22
ver,20
passa,19
manhã,17
bem,17
quer,16
ainda,16
outro,16
olhos,16
povo,16
céu,16
saudade,15
nascer,15
fazer,15
vez,14
quero,14
voltar,14
nunca,14
certo,14
história,14
mundo,13
iracema,13
futuro,13
repanguelejando,13
praia,13
ter,13
casa,13
bate palmas,13
ceará,12
novo,12
chegar,12
maraca,12
dá,12
lugar,12
luz,12
tanta,12
elvira,12
vela,12
esperando,12
sempre,12
jack,12
vejo,12
dessa,11
diga,11
pois,11
qualquer,11
terra,11
varal,11
nome,11
levar,11
medo,11
longe,11
desse,11
todo,11
bar,10
disse,10
dizer,10
anavantu,10
equatorial,10
brasil,10
parece,10
chão,10
bicho,10
mal,10
merci bocu,10
agora,10
rua,10
verde,10
vivo,10
surgir,10
viu,10
,9
nessa,9
carnaval,9
beijo,9
vontade,9
aldeota,9
sabem,9
samba,9
sapi,9
hora,9
branca,9
vi,9
coração,9
esperança,9
todos,9
trabalho,9
vamos,9
deus,9
velho,9
deixa,9
cada,9
lua,9
passam,9
a gente,9
dentro,8
água,8
pescar,8
morro,8
pescador,8
terminar,8
chuva,8
bater,8
alegria,8
paz,8
adentro,8
fé,8
rio,8
rede,8
duvida,8
lindo,8
ondas,8
beleza,8
pé,8
praia do futuro,8
gosto,7
irmão,7
importa,7
louco,7
sonhos,7
sorte,7
som,7
fazendo,7
fim,7
feito,7
cor,7
tarde,7
pele,7
favela,7
falar,7
pode,7
esquina,7
tipo,7
engolindo,7
ponte,7
dor,7
corre,7
certeza,7
palmeiras,7
kiss me,7
castelo encantado,7
menino,7
país,7
sair,7
caiu,7
moramos,7
quanto,7
mucuripe,7
mudar,7
amiga,7
ruas,7
caminho,6
cantiga,6
mulher,6
estar,6
ficar,6
contar,6
morena,6
fique,6
mão,6
pés,6
passado,6
confunde,6
enquanto,6
quê,6
encontrar,6
quis,6
diz,6
pouco,6
azul,6
querer,6
velas do mucuripe,6
praia de iracema,6
verdade,6
dançar,6
quebrar,6
aquecer,6
consigo,6
leva,6
maria,6
linda,6
saber,6
sim,6
forte,6
chegando,6
vê,6
jangadas,6
areia,6
maracatu,6
arder,6
menino de rua,6
viver,6
messejana,6
cara,6
cidade 2000,6
barco,6
águas,6
pior,6
saiu,6
fortuna,6
vá,5
bela,5
descanso,5
crime,5
brancas,5
comigo,5
vive,5
brisa,5
burrê,5
corpo,5
chega,5
chiba,5
cores,5
vim,5
boca,5
canto,5
cinema noir,5
conta,5
coisas,5
blocos de carnaval,5
preciso,5
desci,5
olhar,5
memória,5
meninos,5
mente,5
mesa,5
mistura,5
mucambo cafundó,5
muita,5
mágoas,5
nenhum,5
rodar,5
quiser,5
queria,5
desde,5
outra,5
padeiro,5
padê,5
quase,5
passar,5
patrão,5
pecados,5
perco,5
pesado,5
possa,5
primeira,5
sexo,5
logo,5
lobisomem,5
liga,5
desejo,5
veio,5
dizendo,5
donzela,5
tirar,5
estrelas,5
faces,5
faça,5
ficou,5
filho,5
flor,5
fome,5
são paulo,5
fraternitê,5
ganidos,5
prazer,5
grito,5
igualitê,5
instante,5
sob,5
jangurussu,5
lado,5
libertê,5
gente,5
jeito,5
anda,5
amigo,5
arma,5
arde,5
afuera,5
anarriê,5
alguém,5
vagabundo,4
fumaça,4
caô,4
calor,4
menos,4
babá,4
multidão,4
respeito,4
fundas,4
frente,4
passava,4
repente,4
ganha,4
algodão,4
menina,4
mês,4
sumiu,4
perto,4
antes,4
pessoas,4
abraço,4
fiquei,4
toca,4
namorar,4
vivendo,4
predileta,4
ipiranga,4
cachorro,4
rima,4
antiga,4
vendo,4
cai,4
sul,4
peri,4
ir,4
grande,4
ipanema,4
vidas,4
acabar,4
molhar,4
cará,4
viagem,4
vermelho,4
alma,4
vezes,4
ideal,4
cartas,4
miséria,4
mil,4
darling,4
daqui,4
daquele,4
pão,4
canção,4
pede,4
praia do peixe,4
pensamento,4
grandes,4
gris,4
casar,4
canciones,4
rapaz,4
guerra,4
invade,4
quá,4
deixou,4
morada,4
mora,4
canta,4
viejas,4
cantar,4
inocência,4
lama,4
contigo,4
da gente,4
por que,4
nesse,4
condição,4
família,4
eh,4
bote,4
esperar,4
concentrar,4
ouvia,4
classe,4
chegou,4
embora,4
âmbar,4
cheia,4
bonde,4
mandar,4
clima,4
ponto,4
oh,4
benfica,4
chora,4
estrela,4
chorar,4
notícias,4
pista,4
atrás,4
oba,4
esquece,4
sertão,4
ar,4
pai,4
sabia,4
maninha,4
festa,4
brilhar,4
contando,4
volta,4
vacila,4
civil,4
natureza,4
uns,4
fica,4
consecutivamente,4
dorme,4
sentir,4
voltou,4
par,4
espaço,4
loucos,4
entrar,4
beijou,4
femme bateau,4
bastante,4
vejam,4
dp,4
faço,4
dunas,4
conheço,4
braz,4
valer,4
pirambu,4
entender,4
inteira,3
tom,3
infinito,3
luzes,3
cumpade,3
universidade,3
lamento,3
poder,3
corpos,3
legal,3
lembrança,3
lembranças,3
contente,3
lembrar,3
alto,3
kill me,3
prego,3
jovem,3
joga,3
trajetória,3
trajado,3
cristo,3
jangada,3
procurando,3
tristeza,3
jamais,3
prata,3
ponte velha,3
bairros,3
turista,3
longarinas,3
poemas,3
própria,3
jacarecanga,3
ossos,3
igual,3
rádio,3
situadas,3
sala,3
falam,3
falo,3
falta,3
el,3
efeito,3
faria,3
fechado,3
ignorância,3
ferve,3
fez,3
dona,3
domingo,3
fico,3
sonhar,3
sonho,3
doce,3
empregado,3
explora,3
existe,3
sinceramente,3
escondem,3
semente,3
sentido,3
escravidão,3
segredos,3
espera,3
espero,3
espuma,3
enfim,3
seu mané,3
esqueceu,3
